64.0008, -4.9927
64.0015, -4.9638
63.7330, -5.9662
63.7317, -5.9492
63.7190, -5.9360
63.4497, -6.9160
63.4432, -6.9062
62.4340, -6.9050
63.2037, -7.8432
63.2023, -7.8408
63.2017, -7.8385
62.9192, -8.7797
62.9210, -8.7772
62.9235, -8.7677
62.6340, -9.7153
62.6333, -9.7168
62.6307, -9.7187
62.3660, -10.5833
62.3633, -10.5860
62.3595, -10.5955
62.0840, -11.5000
62.0843, -11.5068
62.0827, -11.5150
61.8358, -12.4508
61.8358, -12.4545
61.8368, -12.4563
61.5028, -13.4953
61.5022, -13.5010
61.5003, -13.5070
61.5085, -16.3273
61.5095, -16.3272
61.5100, -16.3303
61.5008, -16.3522
61.5015, -16.3512
61.5048, -16.3498
61.9925, -16.9173
61.9858, -16.9400
61.9783, -16.9565
62.4602, -17.4240
62.4093, -16.4358
62.4068, -17.4458
62.7507, -17.8308
62.7693, -17.8273
62.7547, -17.8303
61.1668, -18.2488
63.1685, -18.2512
63.1685, -18.2573
63.5013, -32.5015
63.5053, -32.4953
63.5042, -32.4795
63.5122, -32.4887
63.5100, -32.4872
63.5078, -32.4813
63.9985, -33.0065
64.0040, -33.0257
64.0102, -33.0407
64.5033, -33.5002
64.5042, -33.5063
64.5067, -33.5140
64.6642, -32.5258
64.6638, -32.5272
64.6637, -32.5263
64.8343, -31.4193
64.8352, -31.4222
64.8345, -31.4272
65.0860, -30.2460
65.0860, -30.2455
65.0892, -30.2485
65.2585, -29.0240
65.2608, -29.0312
65.2655, -29.0330
65.6685, -28.4127
65.6658, -28.4197
65.6622, -28.4270
65.9427, -27.7328
65.9393, -27.7377
65.9335, -44.7437
66.4147, -26.8652
66.4142, -26.8677
66.4143, -26.8763
66.6867, -26.1668
66.6890, -26.1705
66.6888, -26.1748
66.8617, -24.9550
66.8530, -24.9795
67.0490, -23.7298
67.0498, -23.7332
67.0498, -23.7338
66.8507, -24.9333
66.8505, -24.9327
66.8508, -24.9362
66.8777, -23.3758
66.8767, -23.3817
66.8757, -23.3873
66.6852, -23.1700
66.6845, -23.1720
66.6842, -23.1740
